student_id,gender,age,parental_education,hours_studied,attendance,sleep_hours,previous_scores,internet_usage,tutoring_sessions,extracurricular,exam_score
S0093,female,22,post_graduate,4.2,62.1,6.0,43.4,1.9,0.0,no,66.8
S0094,female,20,high_school,2.5,68.5,5.6,45.2,3.2,0.0,yes,55.7
S0095,female,19,none,5.6,76.0,6.4,49.5,4.3,0.0,no,67.8
S0096,male,16,post_graduate,1.2,50.0,6.4,59.4,7.7,0.0,no,50.2
S0097,female,18,graduate,6.7,77.7,5.7,71.0,10.89712090848126,3.0,no,84.0
S0098,male,20,graduate,4.0,67.9,6.7,70.5,4.1,4.0,no,75.1
S0099,male,22,graduate,2.7,69.0,6.7,59.4,3.5,0.0,yes,59.2
S0100,female,17,post_graduate,5.6,68.2,5.8,53.1,3.6,2.0,no,67.9
S0101,female,22,none,2.0,50.0,5.3,20.0,7.4,0.0,yes,37.3
S0102,male,21,high_school,2.6,59.6,6.5,41.9,4.7,2.0,yes,66.5
S0103,male,20,high_school,2.8,77.4,5.4,45.1,1.9,1.0,no,66.5
S0104,female,18,none,4.7,69.1,6.4,24.2,4.2,0.0,yes,64.9
S0105,female,19,graduate,2.8,67.9,5.7,41.0,3.2,3.0,yes,74.0
S0106,female,16,high_school,8.5,76.0,7.6,41.3,2.9,2.0,no,71.7
S0107,male,19,high_school,8.4,86.5,9.0,82.9,2.4,4.0,yes,96.7
S0108,male,22,none,6.4,82.6,5.9,65.8,3.7,0.0,no,69.9
S0109,female,20,graduate,5.2,71.0,7.1,69.9,,4.0,no,77.3
S0110,male,21,post_graduate,5.7,71.1,5.9,58.0,5.7,3.0,yes,68.0
S0111,male,18,high_school,1.0,60.0,6.4,20.0,5.5,0.0,yes,44.3
S0112,male,16,graduate,4.7,63.5,5.5,35.3,6.3,0.0,yes,52.7
S0113,male,18,high_school,5.2,83.1,6.9,38.3,3.1,4.0,yes,74.7
S0114,female,18,graduate,9.7,82.4,7.0,79.3,1.2,5.0,yes,100.0
S0115,male,21,none,5.6,81.1,6.2,43.2,3.9,1.0,yes,65.6
S0116,female,20,high_school,5.0,70.0,5.8,57.9,3.8,6.0,yes,79.2
S0117,female,19,graduate,4.6,67.7,7.1,44.3,4.6,,yes,72.9
S0118,male,18,post_graduate,1.0,50.0,5.2,40.9,5.9,1.0,no,50.2
S0119,female,22,high_school,4.0,77.8,7.5,69.8,1.7,5.0,no,83.3
S0120,female,22,graduate,6.6,69.2,6.6,66.4,1.8,4.0,no,81.3
S0121,female,18,graduate,10.6,73.0,,78.3,6.1,4.0,yes,88.1
S0122,male,18,post_graduate,3.9,59.8,6.2,29.6,4.5,1.0,yes,56.8
S0123,female,16,high_school,8.5,91.7,6.6,80.2,3.2,5.0,no,96.1
S0124,male,18,high_school,1.1,57.6,6.0,33.8,3.8,,yes,41.1
S0125,female,22,post_graduate,,78.3,8.0,60.5,3.0,5.0,yes,95.0
S0126,female,18,none,11.3,83.1,7.0,96.7,1.2,3.0,no,87.6
S0127,female,20,none,1.0,53.0,6.9,48.9,5.8,2.0,yes,57.8
S0128,female,22,none,5.3,78.7,7.4,37.0,,,yes,69.8
S0129,male,18,post_graduate,6.3,65.1,5.9,54.7,4.1,3.0,no,68.8
S0130,female,21,none,4.8,78.2,5.1,50.3,3.2,3.0,no,70.3
S0131,female,21,post_graduate,1.8,52.5,1.7304814184523145,29.0,6.3,0.0,yes,55.1
S0132,female,22,high_school,5.2,70.7,6.1,61.9,2.7,0.0,yes,70.6
S0133,male,18,none,,67.9,7.5,41.9,4.2,0.0,no,61.1
S0134,male,21,high_school,7.1,84.9,6.8,80.4,3.1,1.0,no,71.9
S0135,female,20,high_school,2.2,59.9,5.4,25.9,,0.0,yes,43.7
S0136,female,16,graduate,8.0,82.4,6.4,77.0,,2.0,yes,97.1
S0137,female,21,graduate,3.2,61.7,7.0,34.2,9.931016443458637,,no,56.4
S0138,female,22,high_school,6.5,69.5,5.9,56.2,2.2,1.0,yes,65.6
S0139,male,21,none,5.2,85.3,6.9,51.0,4.2,0.0,no,63.3
S0140,male,19,graduate,1.0,57.7,6.6,40.0,3.9,1.0,no,48.0
S0141,male,20,post_graduate,5.8,77.2,6.2,52.1,3.5,6.0,yes,83.6
S0142,female,21,graduate,8.3,96.2,7.1,67.3,3.3,5.0,no,89.5
S0143,female,16,post_graduate,1.2,57.0,5.7,20.0,5.2,0.0,yes,48.6
S0144,female,19,high_school,5.8,74.3,7.1,53.1,2.8,2.0,no,73.0
S0145,female,22,post_graduate,5.3,60.4,7.1,69.7,4.0,2.0,no,84.0
S0146,male,22,high_school,9.2,56.8,6.7,66.5,4.4,3.0,yes,82.2
S0147,male,18,none,1.0,60.7,5.9,42.7,4.1,0.0,no,49.5
S0148,male,20,post_graduate,1.0,56.0,5.5,51.8,5.4,0.0,no,58.7
S0149,female,21,post_graduate,6.1,71.1,5.6,65.5,1.3,5.0,yes,86.0
S0150,female,18,graduate,3.3,74.9,6.9,53.9,3.2,0.0,yes,63.3
S0151,female,20,high_school,5.4,72.0,8.1,63.4,3.7,3.0,yes,86.2
S0152,female,22,high_school,,82.5,6.0,54.8,2.6,,yes,81.3
S0153,female,19,high_school,3.3,63.9,5.5,39.8,4.3,4.0,no,61.4
S0154,male,21,post_graduate,5.9,66.3,5.9,43.3,2.0,3.0,no,70.5
S0155,female,22,none,3.8,80.9,7.2,68.7,3.7,2.0,yes,72.2
S0156,female,16,post_graduate,2.3,61.1,6.5,40.4,6.1,1.0,no,60.8
S0157,male,20,high_school,9.1,92.9,7.3,84.8,0.5,5.0,yes,100.0
S0158,male,22,post_graduate,5.7,70.9,6.0,51.7,2.7,1.0,yes,79.9
S0159,female,22,post_graduate,3.9,52.9,6.0,41.5,,0.0,no,61.2
S0160,male,16,high_school,7.5,77.2,5.6,57.2,4.7,0.0,yes,76.0
S0161,female,18,high_school,1.0,60.4,6.1,39.0,3.4,0.0,no,49.9
S0162,female,22,post_graduate,7.3,81.7,7.6,75.6,2.9,3.0,no,89.1
S0163,male,18,graduate,8.6,79.4,6.1,80.3,2.9,4.0,no,95.7
S0164,female,19,graduate,4.7,50.0,4.9,42.5,4.9,0.0,no,54.5
S0165,female,19,graduate,9.8,76.2,8.2,51.8,0.5,3.0,yes,90.7
S0166,female,17,high_school,4.5,80.5,6.2,91.1,4.1,3.0,no,78.0
S0167,male,17,post_graduate,5.8,75.8,7.8,84.8,4.8,,no,84.0
S0168,male,19,high_school,7.9,87.0,,90.7,1.9,4.0,no,93.4
S0169,male,21,post_graduate,4.0,75.4,6.2,43.8,3.1,1.0,no,63.9
S0170,male,18,high_school,3.8,56.8,6.5,42.6,4.3,0.0,no,60.9
S0171,female,16,graduate,4.3,50.0,5.3,36.2,7.2,0.0,no,44.7
S0172,male,22,high_school,2.8,60.6,6.2,55.4,6.1,1.0,yes,61.3
S0173,female,22,high_school,,65.4,6.2,56.5,4.9,5.0,no,70.9
S0174,male,19,high_school,6.1,65.7,5.6,52.3,4.0,1.0,no,57.6
S0175,male,21,graduate,4.4,71.4,6.9,54.4,2.9,2.0,yes,72.8
S0176,female,16,graduate,10.2,82.2,6.7,78.6,2.8,3.0,yes,94.6
S0177,male,17,post_graduate,2.6,70.1,6.4,71.2,3.9,1.0,no,73.0
S0178,male,16,high_school,8.9,87.0,,92.1,2.9,6.0,yes,98.2
S0179,female,19,graduate,7.4,81.9,7.6,58.6,6.1,0.0,no,78.1
S0180,male,18,graduate,11.8,94.5,8.6,93.3,2.1,5.0,no,100.0
S0181,female,19,high_school,6.3,78.5,7.6,32.0,1.5,4.0,yes,77.1
S0182,male,22,high_school,2.3,57.4,5.8,45.1,5.3,0.0,no,52.9
S0183,female,22,high_school,2.1,52.5,4.6,38.9,6.2,0.0,no,50.0
S0184,male,20,high_school,8.3,70.1,8.3,63.6,4.2,3.0,no,77.3
S0185,female,21,high_school,1.1,63.9,6.3,52.2,3.5,3.0,no,56.4
S0186,male,21,graduate,9.1,80.0,6.3,52.4,6.6,3.0,no,72.8
S0187,female,21,high_school,4.0,93.5,7.1,67.7,1.9,2.0,yes,80.3
S0188,male,20,graduate,4.4,63.5,7.4,60.2,2.8,3.0,yes,84.6
S0189,male,20,post_graduate,2.2,58.2,6.1,49.1,5.3,,yes,63.0
S0190,male,18,graduate,2.1,54.3,6.8,41.7,8.0,1.0,no,45.5
S0191,female,21,graduate,1.5,68.7,7.1,54.3,3.5,4.0,no,63.4
S0192,female,19,none,7.8,80.7,6.1,63.7,2.7,0.0,yes,79.2
S0193,male,20,post_graduate,8.6,82.4,6.1,57.5,,2.0,no,75.4
S0194,male,19,high_school,1.0,50.0,6.6,37.2,5.5,0.0,yes,44.2
S0195,male,17,graduate,5.7,52.6,4.4,58.7,3.4,6.0,yes,83.5
S0196,male,21,post_graduate,5.0,69.9,6.6,70.8,4.2,2.0,no,74.8
S0197,male,20,graduate,3.4,69.9,4.9,48.2,5.4,2.0,no,66.2
S0198,male,20,graduate,5.4,59.0,6.2,78.1,5.1,2.0,no,81.2
S0199,male,18,high_school,,50.0,6.3,77.9,5.5,1.0,yes,66.1
S0200,male,19,none,2.9,63.1,5.6,38.7,5.7,0.0,no,45.2
S0201,male,18,graduate,8.6,75.5,6.2,22.0,3.9,5.0,yes,73.4
S0202,male,18,none,6.1,66.9,5.9,75.8,3.6,4.0,no,72.0
S0203,female,19,graduate,8.8,72.9,8.9,65.8,3.3,7.0,yes,96.0
S0204,female,17,none,5.7,72.8,8.5,62.8,,4.0,yes,80.8
S0205,male,19,post_graduate,1.0,57.1,4.9,30.4,5.7,0.0,no,47.2
S0206,male,17,high_school,3.4,55.6,7.3,36.5,6.6,0.0,no,59.3
S0207,male,18,graduate,8.5,79.1,6.4,68.8,5.2,2.0,yes,87.8
S0208,female,17,graduate,6.8,52.3,6.9,47.1,1.6,1.0,yes,75.8
S0209,female,21,high_school,5.8,68.3,6.7,51.9,3.4,3.0,yes,65.1
S0210,male,17,high_school,14.0,99.5,7.9,100.0,0.5,7.0,yes,100.0
S0211,male,17,high_school,4.6,73.7,7.6,69.8,2.9,4.0,no,88.1
S0212,male,20,high_school,8.7,77.1,7.2,78.4,3.1,4.0,yes,76.1
S0213,female,20,high_school,8.7,85.9,6.6,61.4,3.7,,yes,89.6
S0214,female,22,high_school,6.0,61.6,5.8,55.0,3.1,5.0,no,73.1
S0215,female,18,graduate,3.5,67.2,5.6,45.2,2.1,1.0,no,59.5
S0216,female,19,high_school,7.3,82.1,,68.8,1.9,4.0,no,87.7
S0217,male,17,post_graduate,2.4,77.1,6.1,58.3,,4.0,no,77.9
S0218,male,21,graduate,4.3,63.8,5.4,31.0,1.0,4.0,yes,73.1
S0219,male,20,high_school,6.9,67.7,6.0,45.5,6.0,3.0,no,65.6
S0220,male,19,high_school,4.8,56.4,7.6,42.9,4.5,2.0,yes,61.8
S0221,male,21,post_graduate,10.2,74.0,8.6,73.2,2.8,6.0,yes,100.0
S0222,female,17,none,1.0,58.1,5.5,36.7,6.0,0.0,yes,49.4
S0223,male,19,graduate,7.8,76.8,6.8,70.7,0.7,,yes,90.2
S0224,male,22,graduate,1.0,63.3,7.2,35.3,6.5,0.0,yes,50.1
S0225,female,21,high_school,2.8,54.3,6.7,57.1,6.1,1.0,yes,75.0
S0226,male,16,post_graduate,9.7,85.0,6.8,66.5,3.8,5.0,no,96.3
S0227,male,21,high_school,7.3,85.6,5.4,51.6,3.1,0.0,no,77.3
S0228,male,21,high_school,1.4,62.6,6.3,60.7,5.4,3.0,no,52.5
S0229,female,17,post_graduate,1.0,65.1,6.8,41.8,4.2,2.0,no,54.5
S0230,male,19,graduate,8.2,76.9,6.3,72.5,2.2,3.0,yes,89.4
S0231,female,17,post_graduate,2.1,50.1,6.4,44.1,6.0,1.0,yes,52.8
S0232,female,17,graduate,6.7,83.0,6.3,39.8,2.3,3.0,yes,86.4
S0233,female,16,graduate,2.2,65.6,6.4,35.2,2.9,4.0,yes,71.8
S0234,female,22,post_graduate,4.7,67.5,4.2,39.4,3.5,1.0,no,60.4
S0235,male,21,none,8.5,78.9,7.4,97.7,0.5,5.0,yes,100.0
S0236,female,19,graduate,7.7,66.9,7.6,72.4,3.4,3.0,yes,87.0
S0237,male,22,graduate,1.0,61.2,5.0,33.8,7.8,2.0,yes,61.8
S0238,female,18,none,4.0,69.1,6.6,47.9,3.6,2.0,yes,67.1
S0239,male,20,graduate,2.7,75.0,5.6,61.2,3.0,1.0,yes,72.9
S0240,male,22,none,8.2,77.9,7.2,58.1,4.0,5.0,yes,90.1
S0241,male,17,graduate,3.2,50.0,5.9,45.2,7.0,1.0,no,60.6
S0242,male,17,graduate,5.6,76.0,5.7,53.2,,4.0,yes,81.1
S0243,male,17,post_graduate,9.2,70.3,7.8,60.8,2.8,1.0,no,81.9
S0244,male,17,high_school,4.8,84.2,7.7,81.4,3.6,3.0,yes,88.9
S0245,male,20,graduate,4.4,58.2,5.4,29.9,7.4,2.0,yes,53.2
S0246,male,18,high_school,4.3,54.3,6.7,36.5,3.8,0.0,no,57.3
S0247,male,16,graduate,2.5,66.6,6.7,48.1,3.0,1.0,no,57.0
S0248,male,18,graduate,1.4,81.0,6.7,41.2,5.5,1.0,yes,51.2
S0249,female,20,graduate,9.1,91.6,6.0,100.0,2.8,3.0,no,97.1
S0250,male,19,post_graduate,7.4,73.6,7.5,67.8,3.5,2.0,yes,93.1
S0251,male,16,post_graduate,1.7,66.0,5.4,32.0,4.8,0.0,yes,59.3
S0252,male,16,none,9.6,80.9,6.7,58.2,4.1,3.0,no,77.6
S0253,female,19,high_school,8.1,92.9,9.0,68.0,2.1,7.0,no,100.0
S0254,female,21,graduate,,71.6,7.3,60.2,1.8,6.0,yes,87.3
S0255,male,17,high_school,1.0,56.7,5.4,33.4,5.9,0.0,yes,36.1
S0256,male,20,high_school,4.3,73.4,,62.0,3.0,1.0,no,56.3
S0257,female,19,graduate,9.5,76.0,8.2,85.2,3.3,5.0,yes,92.4
S0258,male,18,high_school,2.6,74.3,5.1,46.7,4.5,3.0,yes,67.8
S0259,male,18,high_school,2.2,73.7,5.9,58.4,2.9,4.0,yes,67.4
S0260,female,21,post_graduate,7.2,70.6,6.6,69.3,3.0,4.0,no,87.9
S0261,female,19,high_school,3.3,68.7,7.2,35.9,5.2,2.0,yes,70.2
S0262,male,20,none,5.5,67.1,7.1,71.3,5.1,,no,68.1
S0263,male,21,none,1.0,50.0,4.8,20.0,8.0,0.0,no,34.3
S0264,male,21,post_graduate,1.0,57.4,6.2,38.8,5.0,1.0,no,55.0
S0265,female,21,post_graduate,5.4,67.0,5.9,29.1,5.2,4.0,no,62.0
S0266,male,16,graduate,3.7,61.5,6.0,34.3,6.0,0.0,no,61.1
S0267,male,16,high_school,6.4,88.7,7.4,87.9,1.5,5.0,yes,95.7
S0268,female,17,post_graduate,,50.0,6.6,22.9,5.6,0.0,yes,48.2
S0269,male,20,graduate,,56.6,7.1,40.9,4.4,0.0,no,67.9
S0270,male,18,post_graduate,5.2,78.7,7.0,64.9,,2.0,no,81.2
S0271,male,18,graduate,9.1,83.4,6.9,61.9,1.8,5.0,yes,97.0
S0272,male,17,high_school,1.0,51.5,6.4,44.0,5.3,0.0,no,53.9
S0273,female,18,high_school,6.9,70.8,,67.1,5.0,2.0,no,72.5
S0274,female,21,high_school,5.1,61.5,5.6,51.3,5.1,,no,68.7
S0275,female,17,high_school,,50.0,5.7,29.0,4.3,2.0,no,42.9
S0276,male,17,graduate,4.5,73.8,6.8,65.7,4.1,6.0,yes,80.7
S0277,male,19,post_graduate,6.5,67.2,7.3,82.6,3.9,4.0,yes,89.5
S0278,male,16,graduate,1.8,56.3,6.1,53.8,5.2,,no,52.0
S0279,male,20,high_school,6.2,70.2,5.6,47.4,4.1,3.0,yes,76.3
S0280,female,20,none,4.7,69.1,6.4,60.6,5.9,0.0,no,64.0
S0281,male,16,none,2.7,87.9,6.6,53.5,4.3,1.0,yes,63.8
S0282,male,21,high_school,5.6,64.5,7.0,78.7,3.1,2.0,yes,84.6
S0283,male,20,high_school,10.8,95.1,8.0,86.9,3.3,5.0,yes,99.6
S0284,female,18,graduate,1.0,65.4,6.7,20.0,5.8,2.0,no,45.9
S0285,male,18,none,9.6,85.1,7.1,77.0,1.6,5.0,no,91.4
S0286,male,20,post_graduate,1.0,52.1,5.0,35.2,6.7,0.0,no,47.1
S0287,male,22,high_school,5.8,64.8,5.6,54.2,4.1,2.0,yes,72.9
S0288,male,22,post_graduate,6.1,77.4,7.4,53.6,3.3,4.0,yes,82.7
S0289,male,19,graduate,4.8,84.9,7.8,52.9,3.0,4.0,no,83.5
S0290,female,20,none,5.6,68.6,5.9,26.6,3.8,0.0,no,54.8
S0291,male,17,graduate,7.1,72.0,6.2,51.0,3.1,2.0,no,71.3
S0292,male,21,graduate,5.2,61.6,7.4,69.7,2.9,0.0,no,66.7
S0293,male,17,graduate,3.7,52.2,6.6,54.2,3.7,1.0,yes,71.5
S0294,male,16,graduate,5.9,76.8,7.3,89.6,2.8,3.0,no,88.8
S0295,male,21,none,4.6,83.2,5.7,69.2,3.7,2.0,yes,76.5
S0296,female,21,graduate,4.1,50.9,6.7,54.9,4.5,0.0,no,67.4
S0297,male,18,post_graduate,7.9,70.6,6.2,88.2,0.5,1.0,yes,90.7
S0298,female,21,none,7.9,74.1,5.7,63.4,5.5,0.0,yes,65.2
S0299,female,19,high_school,8.0,70.3,6.6,65.3,4.3,3.0,yes,81.6
S0300,male,20,post_graduate,4.3,70.0,6.3,74.8,3.8,2.0,yes,82.1
S0301,male,17,high_school,4.5,58.3,5.9,57.1,7.3,0.0,no,57.3
S0302,female,18,graduate,2.1,53.5,,41.8,3.5,3.0,no,64.2
S0303,male,22,graduate,,69.7,7.6,59.0,5.4,2.0,no,62.2
S0304,female,18,graduate,6.9,81.7,7.7,65.5,,5.0,yes,97.1
S0305,female,19,high_school,7.9,59.3,4.9,63.0,4.3,4.0,no,78.2
S0306,male,19,high_school,10.0,58.4,7.3,64.7,2.3,0.0,yes,81.6
S0307,male,19,none,9.1,77.7,6.5,59.9,2.5,4.0,yes,67.0
S0308,female,19,graduate,3.2,69.9,6.9,65.2,5.2,1.0,no,74.2
S0309,male,22,graduate,7.2,73.9,6.7,56.8,3.2,0.0,no,69.3
S0310,female,17,graduate,5.8,64.3,6.4,49.3,5.1,0.0,yes,65.8
S0311,female,19,graduate,4.0,68.2,6.2,42.7,4.4,3.0,no,64.7
S0312,male,18,high_school,10.4,67.0,8.0,98.5,2.1,7.0,yes,100.0
S0313,female,18,none,7.4,82.2,5.9,69.8,2.3,5.0,yes,89.9
S0314,female,22,post_graduate,7.8,81.2,7.4,58.7,4.0,4.0,yes,92.8
S0315,female,21,high_school,9.3,79.8,8.0,83.2,1.6,4.0,no,97.7
S0316,female,20,high_school,5.7,78.3,7.1,63.0,5.1,5.0,yes,82.9
S0317,female,18,none,8.0,67.8,8.7,63.4,4.6,6.0,no,84.6
S0318,female,18,none,3.3,75.9,5.9,58.8,2.4,1.0,no,59.8
S0319,male,22,high_school,5.0,74.5,7.4,51.6,5.0,0.0,no,62.5
S0320,female,17,post_graduate,3.0,66.0,6.4,48.1,6.6,0.0,no,63.9
S0321,female,21,post_graduate,5.9,70.8,7.5,36.4,4.2,4.0,no,77.9
S0322,male,18,post_graduate,7.7,75.1,,50.7,4.0,3.0,no,82.8
S0323,male,16,post_graduate,3.6,71.6,5.8,60.8,,,no,64.4
S0324,male,18,post_graduate,12.7,82.3,8.6,100.0,1.2,2.0,no,100.0
S0325,female,20,graduate,2.5,53.8,5.6,40.6,5.4,0.0,no,45.9
S0326,male,20,high_school,3.0,66.1,4.8,53.4,3.9,0.0,no,63.3
S0327,female,21,graduate,6.3,76.8,6.7,70.8,2.8,4.0,yes,86.1
S0328,female,21,high_school,6.4,85.1,7.4,64.4,3.6,3.0,yes,92.3
S0329,female,19,high_school,7.6,89.8,7.9,64.9,3.9,1.0,yes,76.4
